Term,Description,Context
RTGs,radioisotope thermoelectric generators,"three radioisotope thermoelectric generators  (RTGs), of the same design as the RTGs carried aboard Ulysses, Galileo, and New Horizons. The  "
MAG/ER,46 Scientific Instruments:1. electron reflectometer and magnetometer,SLC-46 Scientific Instruments:1. electron reflectometer and magnetometer (MAG/ER)2. gamma-ray spectrometer (GRS)3. neutron spectrometer (NS)4. alpha particle spectrometer (APS)5. Doppler gravity experiment (using S-band antenna) (DGE)Results: Lunar Prospector was designed to collect data to compile the first complete compositional and gravity maps of the Moon during its planned  
GRS,magnetometer (MAG/ER)2. gamma ray spectrometer,SLC-46 Scientific Instruments:1. electron reflectometer and magnetometer (MAG/ER)2. gamma-ray spectrometer (GRS)3. neutron spectrometer (NS)4. alpha particle spectrometer (APS)5. Doppler gravity experiment (using S-band antenna) (DGE)Results: Lunar Prospector was designed to collect data to compile the first complete compositional and gravity maps of the Moon during its planned  
NS,spectrometer (GRS)3. neutron spectrometer,SLC-46 Scientific Instruments:1. electron reflectometer and magnetometer (MAG/ER)2. gamma-ray spectrometer (GRS)3. neutron spectrometer (NS)4. alpha particle spectrometer (APS)5. Doppler gravity experiment (using S-band antenna) (DGE)Results: Lunar Prospector was designed to collect data to compile the first complete compositional and gravity maps of the Moon during its planned  
APS,spectrometer (NS)4. alpha particle spectrometer,SLC-46 Scientific Instruments:1. electron reflectometer and magnetometer (MAG/ER)2. gamma-ray spectrometer (GRS)3. neutron spectrometer (NS)4. alpha particle spectrometer (APS)5. Doppler gravity experiment (using S-band antenna) (DGE)Results: Lunar Prospector was designed to collect data to compile the first complete compositional and gravity maps of the Moon during its planned  
DGE,experiment (using S band antenna),SLC-46 Scientific Instruments:1. electron reflectometer and magnetometer (MAG/ER)2. gamma-ray spectrometer (GRS)3. neutron spectrometer (NS)4. alpha particle spectrometer (APS)5. Doppler gravity experiment (using S-band antenna) (DGE)Results: Lunar Prospector was designed to collect data to compile the first complete compositional and gravity maps of the Moon during its planned  
MIC,Instruments: 1. Mars imaging camera,Launch Site: Kagoshima / Launch Complex M-5 Scientific Instruments: 1. Mars imaging camera (MIC) 2. magnetic field measurement instrument (magnetometer) (MGF) 3. electron spectrum analyzer (ESA) 4. ion spectrum analyzer (ISA) 5. ion mass imager (IMI) 6. electron and ion spectrometer (EIS) 7. thermal plasma analyzer (TPA) 
MGF,magnetic field measurement instrument (magnetometer),Launch Site: Kagoshima / Launch Complex M-5 Scientific Instruments: 1. Mars imaging camera (MIC) 2. magnetic field measurement instrument (magnetometer) (MGF) 3. electron spectrum analyzer (ESA) 4. ion spectrum analyzer (ISA) 5. ion mass imager (IMI) 6. electron and ion spectrometer (EIS) 7. thermal plasma analyzer (TPA) 
ESA,(MGF) 3. electron spectrum analyzer,Launch Site: Kagoshima / Launch Complex M-5 Scientific Instruments: 1. Mars imaging camera (MIC) 2. magnetic field measurement instrument (magnetometer) (MGF) 3. electron spectrum analyzer (ESA) 4. ion spectrum analyzer (ISA) 5. ion mass imager (IMI) 6. electron and ion spectrometer (EIS) 7. thermal plasma analyzer (TPA) 
ISA,(ESA) 4. ion spectrum analyzer,Launch Site: Kagoshima / Launch Complex M-5 Scientific Instruments: 1. Mars imaging camera (MIC) 2. magnetic field measurement instrument (magnetometer) (MGF) 3. electron spectrum analyzer (ESA) 4. ion spectrum analyzer (ISA) 5. ion mass imager (IMI) 6. electron and ion spectrometer (EIS) 7. thermal plasma analyzer (TPA) 
IMI,(ISA) 5. ion mass imager,Launch Site: Kagoshima / Launch Complex M-5 Scientific Instruments: 1. Mars imaging camera (MIC) 2. magnetic field measurement instrument (magnetometer) (MGF) 3. electron spectrum analyzer (ESA) 4. ion spectrum analyzer (ISA) 5. ion mass imager (IMI) 6. electron and ion spectrometer (EIS) 7. thermal plasma analyzer (TPA) 
EIS,6. electron and ion spectrometer,Launch Site: Kagoshima / Launch Complex M-5 Scientific Instruments: 1. Mars imaging camera (MIC) 2. magnetic field measurement instrument (magnetometer) (MGF) 3. electron spectrum analyzer (ESA) 4. ion spectrum analyzer (ISA) 5. ion mass imager (IMI) 6. electron and ion spectrometer (EIS) 7. thermal plasma analyzer (TPA) 
TPA,(EIS) 7. thermal plasma analyzer,Launch Site: Kagoshima / Launch Complex M-5 Scientific Instruments: 1. Mars imaging camera (MIC) 2. magnetic field measurement instrument (magnetometer) (MGF) 3. electron spectrum analyzer (ESA) 4. ion spectrum analyzer (ISA) 5. ion mass imager (IMI) 6. electron and ion spectrometer (EIS) 7. thermal plasma analyzer (TPA) 
PET,8. probe for electron temperature,Scientific Instruments: 1. Mars imaging camera (MIC) 2. magnetic field measurement instrument (magnetometer) (MGF) 3. electron spectrum analyzer (ESA) 4. ion spectrum analyzer (ISA) 5. ion mass imager (IMI) 6. electron and ion spectrometer (EIS) 7. thermal plasma analyzer (TPA)  8. probe for electron temperature (PET) 9. plasma wave and sounder (PWS) 10. neutral mass spectrometer (NMS) 11. Mars dust counter (MDC) 12. extra ultraviolet scanner (XUV) 13. ultraviolet imaging spectrometer (UVS) 14. low frequency plasma wave analyzer (LFA) 
PWS,9. plasma wave and sounder,Scientific Instruments: 1. Mars imaging camera (MIC) 2. magnetic field measurement instrument (magnetometer) (MGF) 3. electron spectrum analyzer (ESA) 4. ion spectrum analyzer (ISA) 5. ion mass imager (IMI) 6. electron and ion spectrometer (EIS) 7. thermal plasma analyzer (TPA)  8. probe for electron temperature (PET) 9. plasma wave and sounder (PWS) 10. neutral mass spectrometer (NMS) 11. Mars dust counter (MDC) 12. extra ultraviolet scanner (XUV) 13. ultraviolet imaging spectrometer (UVS) 14. low frequency plasma wave analyzer (LFA) 
NMS,(PWS) 10. neutral mass spectrometer,Scientific Instruments: 1. Mars imaging camera (MIC) 2. magnetic field measurement instrument (magnetometer) (MGF) 3. electron spectrum analyzer (ESA) 4. ion spectrum analyzer (ISA) 5. ion mass imager (IMI) 6. electron and ion spectrometer (EIS) 7. thermal plasma analyzer (TPA)  8. probe for electron temperature (PET) 9. plasma wave and sounder (PWS) 10. neutral mass spectrometer (NMS) 11. Mars dust counter (MDC) 12. extra ultraviolet scanner (XUV) 13. ultraviolet imaging spectrometer (UVS) 14. low frequency plasma wave analyzer (LFA) 
MDC,(NMS) 11. Mars dust counter,Scientific Instruments: 1. Mars imaging camera (MIC) 2. magnetic field measurement instrument (magnetometer) (MGF) 3. electron spectrum analyzer (ESA) 4. ion spectrum analyzer (ISA) 5. ion mass imager (IMI) 6. electron and ion spectrometer (EIS) 7. thermal plasma analyzer (TPA)  8. probe for electron temperature (PET) 9. plasma wave and sounder (PWS) 10. neutral mass spectrometer (NMS) 11. Mars dust counter (MDC) 12. extra ultraviolet scanner (XUV) 13. ultraviolet imaging spectrometer (UVS) 14. low frequency plasma wave analyzer (LFA) 
XUV,(MDC) 12. extra ultraviolet scanner,Scientific Instruments: 1. Mars imaging camera (MIC) 2. magnetic field measurement instrument (magnetometer) (MGF) 3. electron spectrum analyzer (ESA) 4. ion spectrum analyzer (ISA) 5. ion mass imager (IMI) 6. electron and ion spectrometer (EIS) 7. thermal plasma analyzer (TPA)  8. probe for electron temperature (PET) 9. plasma wave and sounder (PWS) 10. neutral mass spectrometer (NMS) 11. Mars dust counter (MDC) 12. extra ultraviolet scanner (XUV) 13. ultraviolet imaging spectrometer (UVS) 14. low frequency plasma wave analyzer (LFA) 
UVS,(XUV) 13. ultraviolet imaging spectrometer,Scientific Instruments: 1. Mars imaging camera (MIC) 2. magnetic field measurement instrument (magnetometer) (MGF) 3. electron spectrum analyzer (ESA) 4. ion spectrum analyzer (ISA) 5. ion mass imager (IMI) 6. electron and ion spectrometer (EIS) 7. thermal plasma analyzer (TPA)  8. probe for electron temperature (PET) 9. plasma wave and sounder (PWS) 10. neutral mass spectrometer (NMS) 11. Mars dust counter (MDC) 12. extra ultraviolet scanner (XUV) 13. ultraviolet imaging spectrometer (UVS) 14. low frequency plasma wave analyzer (LFA) 
LFA,low frequency plasma wave analyzer,Scientific Instruments: 1. Mars imaging camera (MIC) 2. magnetic field measurement instrument (magnetometer) (MGF) 3. electron spectrum analyzer (ESA) 4. ion spectrum analyzer (ISA) 5. ion mass imager (IMI) 6. electron and ion spectrometer (EIS) 7. thermal plasma analyzer (TPA)  8. probe for electron temperature (PET) 9. plasma wave and sounder (PWS) 10. neutral mass spectrometer (NMS) 11. Mars dust counter (MDC) 12. extra ultraviolet scanner (XUV) 13. ultraviolet imaging spectrometer (UVS) 14. low frequency plasma wave analyzer (LFA) 
SCARLET,system2. solar concentrator array with refractive linear element technology,Technology Instruments: 1. ion propulsion system2. solar concentrator array with refractive linear element technology (SCARLET) 
SDST,operations experiment6. small deep space transponder,3. autonomous navigation system (AutoNav)4. remote intelligent operations software (Remote Agent RAX) 5. Beacon monitor operations experiment6. small deep-space transponder (SDST)7. miniature integrated camera spectrometer (MICAS) 
MICAS,space transponder (SDST)7. miniature integrated camera spectrometer,3. autonomous navigation system (AutoNav)4. remote intelligent operations software (Remote Agent RAX) 5. Beacon monitor operations experiment6. small deep-space transponder (SDST)7. miniature integrated camera spectrometer (MICAS) 
REPE,plasma experiment for planetary exploration instrument,5. Beacon monitor operations experiment6. small deep-space transponder (SDST)7. miniature integrated camera spectrometer (MICAS) 8. plasma experiment for planetary exploration instrument (REPE)9. Ka-band solid-state power amplifierResults: Deep Space 1 (DS1) was designed to test new innovative technologies appropriate for future deep space and interplanetary missions. It was the first in a new series of technology demonstration missions under NASA™s New Millennium program.  
PMIRR,17A Scientific Instruments:1. pressure modulated infrared radiometer,Launch Complex 17A Scientific Instruments:1. pressure modulated infrared radiometer (PMIRR)2. Mars color imaging system (two cameras) (MARCI)Results: Mars Climate Orbiter (MCO) was the  
MARCI,(PMIRR)2. Mars color imaging system (two cameras),Launch Complex 17A Scientific Instruments:1. pressure modulated infrared radiometer (PMIRR)2. Mars color imaging system (two cameras) (MARCI)Results: Mars Climate Orbiter (MCO) was the  
MCO,Mars Climate Orbiter,Launch Complex 17A Scientific Instruments:1. pressure modulated infrared radiometer (PMIRR)2. Mars color imaging system (two cameras) (MARCI)Results: Mars Climate Orbiter (MCO) was the  
SSI,Scientific Instruments:1. stereo surface imager,Launch Complex 17B Scientific Instruments:1. stereo surface imager (SSI)2. robotic arm (RA)3. meteorology package (MET)4. thermal and evolved has analyzer (TEGA)5. robotic arm camera (RAC)6. Mars descent imager (MARDI)7. light detection and ranging instrument (LIDAR) 
RA,imager (SSI)2. robotic arm,Launch Complex 17B Scientific Instruments:1. stereo surface imager (SSI)2. robotic arm (RA)3. meteorology package (MET)4. thermal and evolved has analyzer (TEGA)5. robotic arm camera (RAC)6. Mars descent imager (MARDI)7. light detection and ranging instrument (LIDAR) 
MET,robotic arm (RA)3. meteorology package,Launch Complex 17B Scientific Instruments:1. stereo surface imager (SSI)2. robotic arm (RA)3. meteorology package (MET)4. thermal and evolved has analyzer (TEGA)5. robotic arm camera (RAC)6. Mars descent imager (MARDI)7. light detection and ranging instrument (LIDAR) 
TEGA,(MET)4. thermal and evolved has analyzer,Launch Complex 17B Scientific Instruments:1. stereo surface imager (SSI)2. robotic arm (RA)3. meteorology package (MET)4. thermal and evolved has analyzer (TEGA)5. robotic arm camera (RAC)6. Mars descent imager (MARDI)7. light detection and ranging instrument (LIDAR) 
RAC,analyzer (TEGA)5. robotic arm camera,Launch Complex 17B Scientific Instruments:1. stereo surface imager (SSI)2. robotic arm (RA)3. meteorology package (MET)4. thermal and evolved has analyzer (TEGA)5. robotic arm camera (RAC)6. Mars descent imager (MARDI)7. light detection and ranging instrument (LIDAR) 
MARDI,robotic arm camera (RAC)6. Mars descent imager,Launch Complex 17B Scientific Instruments:1. stereo surface imager (SSI)2. robotic arm (RA)3. meteorology package (MET)4. thermal and evolved has analyzer (TEGA)5. robotic arm camera (RAC)6. Mars descent imager (MARDI)7. light detection and ranging instrument (LIDAR) 
LIDAR,imager (MARDI)7. light detection and ranging instrument,Launch Complex 17B Scientific Instruments:1. stereo surface imager (SSI)2. robotic arm (RA)3. meteorology package (MET)4. thermal and evolved has analyzer (TEGA)5. robotic arm camera (RAC)6. Mars descent imager (MARDI)7. light detection and ranging instrument (LIDAR) 
MPL,Mars Polar Lander,Scientific Instruments:1. stereo surface imager (SSI)2. robotic arm (RA)3. meteorology package (MET)4. thermal and evolved has analyzer (TEGA)5. robotic arm camera (RAC)6. Mars descent imager (MARDI)7. light detection and ranging instrument (LIDAR) 8. Mars microphoneResults: The Mars Polar Lander (MPL) was one of  
DFMI,Scientific Instruments:1. dust flux monitor instrument,Launch Complex 17A Scientific Instruments:1. dust flux monitor instrument (DFMI)2. cometary and interstellar dust analyzer (CIDA) 
CIDA,(DFMI)2. cometary and interstellar dust analyzer,Launch Complex 17A Scientific Instruments:1. dust flux monitor instrument (DFMI)2. cometary and interstellar dust analyzer (CIDA) 
NC,(CIDA) 3. navigation camera,Scientific Instruments:1. dust flux monitor instrument (DFMI)2. cometary and interstellar dust analyzer (CIDA) 3. navigation camera (NC)4. stardust sample collection (SSC)5. dynamic science experiment (DSE)Results: Stardust was the fourth of NASA™s Discovery  
SSC,camera (NC)4. stardust sample collection,Scientific Instruments:1. dust flux monitor instrument (DFMI)2. cometary and interstellar dust analyzer (CIDA) 3. navigation camera (NC)4. stardust sample collection (SSC)5. dynamic science experiment (DSE)Results: Stardust was the fourth of NASA™s Discovery  
DSE,collection (SSC)5. dynamic science experiment,Scientific Instruments:1. dust flux monitor instrument (DFMI)2. cometary and interstellar dust analyzer (CIDA) 3. navigation camera (NC)4. stardust sample collection (SSC)5. dynamic science experiment (DSE)Results: Stardust was the fourth of NASA™s Discovery  
SRC,Sample Return Capsule,"years, at 05:57 UT on 15 January 2006, Stardust™s  Sample Return Capsule (SRC) separated from the main vehicle and, 4 hours later, entered Earth™s  "
NExT,New Exploration of Tempel 1,"then the Moon before entering hibernation mode on 29 January 2004 and remains in a 3-year-long  heliocentric orbit. In July 2007, NASA approved an extended mission for Stardust known as New Exploration of Tempel 1 (NExT) that envisaged a  "
THEMIS,17A Scientific Instruments:1. thermal emission imaging system,"SLC-17A Scientific Instruments:1. thermal emission imaging system (THEMIS)2. gamma ray spectrometer (GRS)3. Mars radiation environment experiment (MARIE)Results: As of mid-2017, 2001 Mars Odyssey holds  "
GRS,system (THEMIS)2. gamma ray spectrometer,"SLC-17A Scientific Instruments:1. thermal emission imaging system (THEMIS)2. gamma ray spectrometer (GRS)3. Mars radiation environment experiment (MARIE)Results: As of mid-2017, 2001 Mars Odyssey holds  "
MARIE,ray spectrometer (GRS)3. Mars radiation environment experiment,"SLC-17A Scientific Instruments:1. thermal emission imaging system (THEMIS)2. gamma ray spectrometer (GRS)3. Mars radiation environment experiment (MARIE)Results: As of mid-2017, 2001 Mars Odyssey holds  "
MSL,Mars Science Laboratory,THEMIS instrument to help select a landing site  for the Mars Science Laboratory (MSL) and later  
MAP,Microwave Anisotropy Probe,thermal-infrared wavelengths.196 Microwave Anisotropy Probe (MAP) 
CMB,Cosmic Microwave Background,Scientific Instruments:1. Pseudo-Correlation Radiometer (fed by two back-to-back reflectors)Results: The Microwave Anisotropy Probe was  designed to map the relative Cosmic Microwave Background (CMB) temperature with high angu-lar resolution and sensitivity over the full sky. In  
COBE,successor to the Cosmic Background Explorer,"order to achieve this, MAP used differential micro-wave radiometers that measured temperature dif-ferences between two points on the sky from its operational position at the SunŒEarth L2 Lagrange Point, about 1.5 million kilometers from Earth.  The two back-to-back telescopes were designed to focus microwave radiation from two spots on the sky approximately 140° apart and feed it to 10 sep-arate differential receivers. The MAP mission was a successor to the Cosmic Background Explorer (COBE) mission, also known as Explorer 46,  "
WMAP,Wilkinson Microwave Anisotropy Probe,"orbit. In 2003, MAP was renamed the Wilkinson  Microwave Anisotropy Probe (WMAP) in honor  "
CRISP,17A Scientific Instruments:1. remote imager/spectrograph,SLC-17A Scientific Instruments:1. remote imager/spectrograph (CRISP)2. forward imager (CFI)3. 
CFI,remote imager/spectrograph (CRISP)2. forward imager,SLC-17A Scientific Instruments:1. remote imager/spectrograph (CRISP)2. forward imager (CFI)3. 
NGIMS,(CFI)3. neutral gas ion mass spectrometer,Scientific Instruments:1. remote imager/spectrograph (CRISP)2. forward imager (CFI)3.  neutral gas ion mass spectrometer (NGIMS)4. dust analyzer (CIDA) 
CIDA,ion mass spectrometer (NGIMS)4. dust analyzer,Scientific Instruments:1. remote imager/spectrograph (CRISP)2. forward imager (CFI)3.  neutral gas ion mass spectrometer (NGIMS)4. dust analyzer (CIDA) 
CONTOUR,composition of their comas. Named Comet Nucleus Tour,"the structure and composition of their comas.  Named Comet Nucleus Tour (CONTOUR),  "
LIDAR,Scientific Instruments:1. light detection and ranging instrument,Launch Site: Kagoshima / M-V Scientific Instruments:1. light detection and ranging instrument (LIDAR) 
NIRS,instrument (LIDAR) 2. near infrared spectrometer,Scientific Instruments:1. light detection and ranging instrument (LIDAR) 2. near infrared spectrometer (NIRS)3. x-ray fluorescence spectrometer (XRS)4. wide-range camera (ONC-W)5. telescopic camera (AMICA) 
XRS,(NIRS)3. x ray fluorescence spectrometer,Scientific Instruments:1. light detection and ranging instrument (LIDAR) 2. near infrared spectrometer (NIRS)3. x-ray fluorescence spectrometer (XRS)4. wide-range camera (ONC-W)5. telescopic camera (AMICA) 
ONC-W,ray fluorescence spectrometer (XRS)4. wide range camera,Scientific Instruments:1. light detection and ranging instrument (LIDAR) 2. near infrared spectrometer (NIRS)3. x-ray fluorescence spectrometer (XRS)4. wide-range camera (ONC-W)5. telescopic camera (AMICA) 
AMICA,wide range camera (ONC W)5. telescopic camera,Scientific Instruments:1. light detection and ranging instrument (LIDAR) 2. near infrared spectrometer (NIRS)3. x-ray fluorescence spectrometer (XRS)4. wide-range camera (ONC-W)5. telescopic camera (AMICA) 
OMEGA,Express:1. visible and infrared mineralogical mapping spectrometer,Launch Site: GIK-5 / Site 31/6 Scientific Instruments:Mars Express:1. visible and infrared mineralogical mapping spectrometer (OMEGA)2. ultraviolet and infrared atmospheric spec-trometer (SPICAM) 
SPICAM,spectrometer (OMEGA)2. ultraviolet and infrared atmospheric spec trometer,Launch Site: GIK-5 / Site 31/6 Scientific Instruments:Mars Express:1. visible and infrared mineralogical mapping spectrometer (OMEGA)2. ultraviolet and infrared atmospheric spec-trometer (SPICAM) 
MARSIS,trometer (SPICAM) 3. sub surface sounding radar altimeter,Scientific Instruments:Mars Express:1. visible and infrared mineralogical mapping spectrometer (OMEGA)2. ultraviolet and infrared atmospheric spec-trometer (SPICAM) 3. sub-surface sounding radar altimeter (MARSIS)4. planetary fourier spectrometer (PFS)5. analyzer of space plasmas and energetic atoms (ASPERA)6. high resolution stereo camera (HRSC)7. Mars Express lander communications (MELACOM)8. Mars radio science experiment (MaRS)9. camera (VMC)2212003 
PFS,altimeter (MARSIS)4. planetary fourier spectrometer,Scientific Instruments:Mars Express:1. visible and infrared mineralogical mapping spectrometer (OMEGA)2. ultraviolet and infrared atmospheric spec-trometer (SPICAM) 3. sub-surface sounding radar altimeter (MARSIS)4. planetary fourier spectrometer (PFS)5. analyzer of space plasmas and energetic atoms (ASPERA)6. high resolution stereo camera (HRSC)7. Mars Express lander communications (MELACOM)8. Mars radio science experiment (MaRS)9. camera (VMC)2212003 
ASPERA,(PFS)5. analyzer of space plasmas and energetic atoms,Scientific Instruments:Mars Express:1. visible and infrared mineralogical mapping spectrometer (OMEGA)2. ultraviolet and infrared atmospheric spec-trometer (SPICAM) 3. sub-surface sounding radar altimeter (MARSIS)4. planetary fourier spectrometer (PFS)5. analyzer of space plasmas and energetic atoms (ASPERA)6. high resolution stereo camera (HRSC)7. Mars Express lander communications (MELACOM)8. Mars radio science experiment (MaRS)9. camera (VMC)2212003 
HRSC,atoms (ASPERA)6. high resolution stereo camera,Scientific Instruments:Mars Express:1. visible and infrared mineralogical mapping spectrometer (OMEGA)2. ultraviolet and infrared atmospheric spec-trometer (SPICAM) 3. sub-surface sounding radar altimeter (MARSIS)4. planetary fourier spectrometer (PFS)5. analyzer of space plasmas and energetic atoms (ASPERA)6. high resolution stereo camera (HRSC)7. Mars Express lander communications (MELACOM)8. Mars radio science experiment (MaRS)9. camera (VMC)2212003 
MELACOM,high resolution stereo camera (HRSC)7. Mars Express lander communications,Scientific Instruments:Mars Express:1. visible and infrared mineralogical mapping spectrometer (OMEGA)2. ultraviolet and infrared atmospheric spec-trometer (SPICAM) 3. sub-surface sounding radar altimeter (MARSIS)4. planetary fourier spectrometer (PFS)5. analyzer of space plasmas and energetic atoms (ASPERA)6. high resolution stereo camera (HRSC)7. Mars Express lander communications (MELACOM)8. Mars radio science experiment (MaRS)9. camera (VMC)2212003 
MaRS,communications (MELACOM)8. Mars radio science experiment,Scientific Instruments:Mars Express:1. visible and infrared mineralogical mapping spectrometer (OMEGA)2. ultraviolet and infrared atmospheric spec-trometer (SPICAM) 3. sub-surface sounding radar altimeter (MARSIS)4. planetary fourier spectrometer (PFS)5. analyzer of space plasmas and energetic atoms (ASPERA)6. high resolution stereo camera (HRSC)7. Mars Express lander communications (MELACOM)8. Mars radio science experiment (MaRS)9. camera (VMC)2212003 
VMC,radio science experiment (MaRS)9. camera,Scientific Instruments:Mars Express:1. visible and infrared mineralogical mapping spectrometer (OMEGA)2. ultraviolet and infrared atmospheric spec-trometer (SPICAM) 3. sub-surface sounding radar altimeter (MARSIS)4. planetary fourier spectrometer (PFS)5. analyzer of space plasmas and energetic atoms (ASPERA)6. high resolution stereo camera (HRSC)7. Mars Express lander communications (MELACOM)8. Mars radio science experiment (MaRS)9. camera (VMC)2212003 
PLUTO,spectrometer6. x ray spectrometer7. planetary underground tool,3. sub-surface sounding radar altimeter (MARSIS)4. planetary fourier spectrometer (PFS)5. analyzer of space plasmas and energetic atoms (ASPERA)6. high resolution stereo camera (HRSC)7. Mars Express lander communications (MELACOM)8. Mars radio science experiment (MaRS)9. camera (VMC)2212003  Beagle 2:1. gas analysis package2. environmental sensors3. 2 stereoscopic cameras4. microscope5. Mössbauer spectrometer6. x-ray spectrometer7. planetary underground tool (PLUTO)Results: ESA™s first planetary mission (although  
MRO,Mars Reconnaissance Orbiter,images taken by NASA™s Mars Reconnaissance  Orbiter (MRO) showed Beagle 2™s wreckage on the  
MB,Mössbauer spectrometer,a. panoramic cameras (Pancam) b. navigation cameras (Navcam)c. miniature thermal emission spectrome-ter (Mini-TES)2. Mössbauer spectrometer (MB)3. alpha particle x-ray spectrometer (APXS)4. magnets (to collect dust particles)5. microscopic imager (MI)6. rock abrasion tool (RAT) 
APXS,(MB)3. alpha particle x ray spectrometer,a. panoramic cameras (Pancam) b. navigation cameras (Navcam)c. miniature thermal emission spectrome-ter (Mini-TES)2. Mössbauer spectrometer (MB)3. alpha particle x-ray spectrometer (APXS)4. magnets (to collect dust particles)5. microscopic imager (MI)6. rock abrasion tool (RAT) 
MI,dust particles)5. microscopic imager,a. panoramic cameras (Pancam) b. navigation cameras (Navcam)c. miniature thermal emission spectrome-ter (Mini-TES)2. Mössbauer spectrometer (MB)3. alpha particle x-ray spectrometer (APXS)4. magnets (to collect dust particles)5. microscopic imager (MI)6. rock abrasion tool (RAT) 
RAT,imager (MI)6. rock abrasion tool,a. panoramic cameras (Pancam) b. navigation cameras (Navcam)c. miniature thermal emission spectrome-ter (Mini-TES)2. Mössbauer spectrometer (MB)3. alpha particle x-ray spectrometer (APXS)4. magnets (to collect dust particles)5. microscopic imager (MI)6. rock abrasion tool (RAT) 
MER,Exploration Rover Mission,"Credit: NASA/JPL-Caltech Results: Spirit and Opportunity were two rovers that together represented the Mars Exploration Rover Mission (MER), itself part of NASA™s Mars Explo "
RAT,Rock Abrasion Tool,"5 February and the day after, Spirit used its Rock  Abrasion Tool (RAT) to ground down the surface  "
MB,Mössbauer spectrometer,a. panoramic cameras (Pancam) b. navigation cameras (Navcam)c. miniature thermal emission spectrome-ter (Mini-TES)2. Mössbauer spectrometer (MB)3. alpha particle x-ray spectrometer (APXS)4. magnets (to collect dust particles)5. microscopic imager (MI)6. rock abrasion tool (RAT) 
APXS,(MB)3. alpha particle x ray spectrometer,a. panoramic cameras (Pancam) b. navigation cameras (Navcam)c. miniature thermal emission spectrome-ter (Mini-TES)2. Mössbauer spectrometer (MB)3. alpha particle x-ray spectrometer (APXS)4. magnets (to collect dust particles)5. microscopic imager (MI)6. rock abrasion tool (RAT) 
MI,dust particles)5. microscopic imager,a. panoramic cameras (Pancam) b. navigation cameras (Navcam)c. miniature thermal emission spectrome-ter (Mini-TES)2. Mössbauer spectrometer (MB)3. alpha particle x-ray spectrometer (APXS)4. magnets (to collect dust particles)5. microscopic imager (MI)6. rock abrasion tool (RAT) 
RAT,imager (MI)6. rock abrasion tool,a. panoramic cameras (Pancam) b. navigation cameras (Navcam)c. miniature thermal emission spectrome-ter (Mini-TES)2. Mössbauer spectrometer (MB)3. alpha particle x-ray spectrometer (APXS)4. magnets (to collect dust particles)5. microscopic imager (MI)6. rock abrasion tool (RAT) 
SIRTF,Space Infrared Telescope Facility,Spacecraft: Space Infrared Telescope Facility  (SIRTF) 
IRAC,17B Scientific Instruments:1. infrared array camera,SLC-17B Scientific Instruments:1. infrared array camera (IRAC)2. infrared spectrograph (IRS)3. multiband imaging photometer for Spitzer (MIPS)Results: SIRTF was the fourth and last of NASA™s  
IRS,array camera (IRAC)2. infrared spectrograph,SLC-17B Scientific Instruments:1. infrared array camera (IRAC)2. infrared spectrograph (IRS)3. multiband imaging photometer for Spitzer (MIPS)Results: SIRTF was the fourth and last of NASA™s  
MIPS,(IRS)3. multiband imaging photometer for Spitzer,SLC-17B Scientific Instruments:1. infrared array camera (IRAC)2. infrared spectrograph (IRS)3. multiband imaging photometer for Spitzer (MIPS)Results: SIRTF was the fourth and last of NASA™s  
CTA,Cryogenic Telescope Assembly,-tific instruments as part of the Cryogenic Telescope  Assembly (CTA). Its planned two-and-a-half-year  
AMIE,Instruments:1. advanced Moon micro imager experiment,UTLaunch Site: Centre spatial Guyanais / ELA-3 Scientific Instruments:1. advanced Moon micro-imager experiment (AMIE)2. demonstration of a compact x-ray spec-trometer (D-CIXS)3. x-ray solar monitor4. SMART-1 infrared spectrometer (XSM) 
D-CIXS,demonstration of a compact x ray spec trometer,UTLaunch Site: Centre spatial Guyanais / ELA-3 Scientific Instruments:1. advanced Moon micro-imager experiment (AMIE)2. demonstration of a compact x-ray spec-trometer (D-CIXS)3. x-ray solar monitor4. SMART-1 infrared spectrometer (XSM) 
XSM,monitor4. SMART 1 infrared spectrometer,UTLaunch Site: Centre spatial Guyanais / ELA-3 Scientific Instruments:1. advanced Moon micro-imager experiment (AMIE)2. demonstration of a compact x-ray spec-trometer (D-CIXS)3. x-ray solar monitor4. SMART-1 infrared spectrometer (XSM) 
EPDP,(XSM) 5. electric propulsion diagnostic package,"Scientific Instruments:1. advanced Moon micro-imager experiment (AMIE)2. demonstration of a compact x-ray spec-trometer (D-CIXS)3. x-ray solar monitor4. SMART-1 infrared spectrometer (XSM) 5. electric propulsion diagnostic package (EPDP)6. spacecraft potential, electron and dust experiment (SPEDE)7. Ka band TT&C experiment (KATE) "
SPEDE,"(EPDP)6. spacecraft potential, electron and dust experiment","Scientific Instruments:1. advanced Moon micro-imager experiment (AMIE)2. demonstration of a compact x-ray spec-trometer (D-CIXS)3. x-ray solar monitor4. SMART-1 infrared spectrometer (XSM) 5. electric propulsion diagnostic package (EPDP)6. spacecraft potential, electron and dust experiment (SPEDE)7. Ka band TT&C experiment (KATE) "
