Term,Definitions
knowledge bases (artificial intelligence),"Facts, assumptions, beliefs, and heuristics, used in dealing with a database to achieve desired results such as a diagnosis, an interpretation, or a solution to a problem."
knowledge representation,The use of symbolic data structures to represent knowledge so that a computer can manipulate them.
Knudsen flow,
Knudsen gages,Gages which measure pressure in terms of the net rate of transfer of momentum by molecules between two surfaces maintained at different temperatures and separated by a distance smaller than the mean free path of the gas molecules. Used for Knudsen cells.
knurling,
Kohoutek comet,
Kolmogorov-Smirnov test,
Kolmogorov theory,
Kondo effect,Change in superconductivity characteristics resulting from magnetic impurities in the compounds involved.
~ Korea,
Korteweg-Devries equation,The mathematical representation describing the propagation of long waves of small but finite amplitude.
Kossel pattern,
Kovar (trademark),
KP index,
Kraft process (woodpulp),Woodpulping process in which sodium sulfate is used in the caustic soda pulp-digestion liquor. Also known as sulfate pulping or Kraft pulping.
Kramers-Kronig formula,The relationship between the attenuation coefficient and the dispersion (frequency dependent phase velocity) for viscoelastic waves.
Krebs cycle,
kreep,"A yellow-brown glassy lunar mineral enriched in potassium, rare earth elements, and phosphate."
kriging,"A method of providing unbiased estimates of variables in regions where the available data exhibit spatial autocorrelation, and these estimates are obtained in such a way that they have minimum variance."
Krook equation,
krypton,
krypton 85,
krypton fluoride lasers,Rare gas halide ultraviolet stimulated emission devices in which krypton fluoride is the active lasing medium.
krypton isotopes,
Kuiper Airborne Observatory,
Kuiper belt,
Kurile Islands,
kurtosis,"In statistics, the extent to which a frequency distribution is peaked or concentrated about the mean; it is sometimes defined as the ratio of the fourth moment of the distribution to the square of the second moment."
Kutta-Joukowski condition,
Kuwait,
Kvant modules,
KWIC indexes,
Kyrgyzstan,
L-29 jet trainer,
L-1011 aircraft,
L-2000 aircraft,
L-Sat,"A communications satellite designed by European Space Agency member states to meet future communications satellite market needs such as European broadcast services, global telecommunications trunk services, and mobile services. Used for European Large Telecomm Satellite."
lab-on-a-chip devices,Integrated microfluidic/semiconductor devices capable of performing one or more laboratory functions on a single chip.
labor,
laboratories,
laboratory astrophysics,"Investigation of the formation, properties, and interactions of interstellar matter conducted through laboratory experimentation."
laboratory equipment,
Labrador,
labyrinth,
labyrinth seals,Minimum leakage seals that offer resistance to fluid flow while providing radial or axial clearance.
labyrinthectomy,
LACATE (experiment),A NASA balloonborne experiment conducted from a balloon platform carried by a balloon over 400 feet in diameter. The acronym stands for the Lower Atmospheric Composition and Temperature Experiment. The experiment was conducted in 1974. Used for Lower Atmospheric Composition Experiment.
lacquers,
lactates,
lactic acid,
lactose,
lacunas,
ladders,
LAGEOS (satellite),
lagoons,"Shallow stretches of seawater, such as sounds, channels, bays (topographic features), or saltwater lakes, near or communicating with seas and partly or completely separated from them by low, narrow, elongated strips of land, such as reefs, barrier islands, sandbanks, or spits. Lagoons are often used to describe sheets of water between offshore coral reefs and the mainland. They often extend roughly parallel to the coast and are little affected by tides. Lagoons are also considered shallow freshwater ponds or lakes near or communicating with larger lakes or rivers."
Lagrange coordinates,"Systems of coordinates by which fluid parcels are identified for all times by assigning them coordinates which do not vary with time. Examples of such coordinates are: (a) the values of any properties of the fluid conserved in the motion; or (b) more generally, the positions in space of the parcels at some arbitrarily selected moment. Subsequent positions in space of the parcels are then the dependent variables, functions of time and of the Lagrange coordinates. Also called material coordinates."
Lagrange multipliers,
Lagrange similarity hypothesis,
Lagrangian equilibrium points,
Lagrangian function,
Laguerre functions,
Lake Champlain Basin (NY-VT),
Lake Erie,
Lake Huron,
lake ice,"Ice formed on lakes, regardless of observed location; it is usually freshwater ice."
Lake Michigan,
Lake Ontario,
Lake Pontchartrain (LA),
Lake Superior,
Lake Tahoe (CA-NV),
Lake Texoma (OK-TX),
lakes,"Inland bodies of standing water occupying depressions in the Earth's surface, generally of appreciable size (larger than a pond) and too deep to permit vegetation (excluding subaqueous vegetation) to take root completely across the expanse of water; the water may be fresh or saline. The term includes expanded parts of rivers, reservoirs behind dams, or lake basins intermittently or formerly covered by water."
Lallemand cameras,
Lamb waves,"Waves that propagate within the thickness of a thin plate, and that can only be generated at particular values of angle of incidence, frequency, and plate thickness. The velocity of the wave is dependent on the mode and the product of plate thickness and frequency."
Lambda rocket vehicles,
Lambda Tauri stars,
Lambert surface,
Lame functions,
Lame wave equations,
lamella,
lamella (metallurgy),Crystalline materials whose grains are in the form of thin sheets.
laminar boundary layer,"In fluid flow, layer next to the fixed boundary. The fluid velocity is zero at the boundary layer but the molecular viscous stress is large because the velocity gradient normal to the wall is large. Used for laminar boundary layer separation and laminar flow control."
laminar flow,"In fluid flow, a smooth flow in which no crossflow of fluid particles occurs between adjacent stream lines; hence, a flow conceived as made up of layers -- commonly distinguished from turbulent flow. Used for laminar flames, laminar jets, Poiseuille flow, and streamline flow."
laminar flow airfoils,
laminar heat transfer,
laminar mixing,
laminar wakes,
laminates,"Products made by bonding together two or more layers of material or materials. Used for laminated materials, laminations, and multilayer structures."
Lance missile,
land,"In a general sense, that part of the Earth's surface that stands above mean sea level. The inclusion of Antarctica's permanent ice in calculating the land surface of the Earth is controversial."
land ice,"Any ice masses formed from snow, rain or other freshwater on land, as ice shelves or glaciers, even though they may be floating in seas as icebergs."
land management,
land mobile satellite service,A proposed radio relay satellite system for serving thinly populated or large geographical areas.
land surface temperature,
land use,
Landau damping,The damping of a space charge wave by electrons which move at the phase velocity of the wave and gain energy transferred from the wave.
Landau factor,
Landau-Ginzburg equations,
landfills,Disposal sites for solid wastes which are buried in layers of earth.
landforms,"Any physical recognizable forms or features of the Earth's surface, having characteristic shapes, and produced by natural causes. Landforms include major forms such a plains, plateaus, and mountains and minor forms such as hills, valleys, slopes, glacial drift, and dunes. Taken together, landforms make up the surface configuration of the Earth."
landing,
landing aids,
landing gear,"The apparatus comprising those components of an aircraft or spacecraft that support and provide mobility for the craft on land, water, or other surface. The landing gear consists of wheels, floats, skis,bogies, and treads, or other devices, together with all associated struts, bracing, or shock absorbers. Used for retractable landing gear."
landing instruments,
landing loads,
landing mats,
landing modules,
landing radar,
landing simulation,
landing sites,
landing speed,
landmarks,
Landsat 1,
Landsat 2,
Landsat 3,The third Landsat satellite (Landsat C) successfully launched and in orbit. Used for Earth Resources Technology Satellite C and ERTS-C.
Landsat 4,
Landsat 5,
Landsat 6,
Landsat 7,
Landsat E,
Landsat F,
Landsat follow-on missions,
Landsat satellites,
landslides,"A general term covering a wide variety of mass movement landforms and processes involving the downslope tranport, under gravitational influence, of soil and rock material en masse. Usually the displaced material moves over a relatively confined zone or surface of shear."
Langevin formula,
Langley complex coordinator,
Langmuir-Blodgett films,
Langmuir turbulence,
language programming,
languages,
lanthanum,
lanthanum alloys,
lanthanum chlorides,
lanthanum compounds,
lanthanum fluorides,
lanthanum isotopes,
lanthanum oxides,
lanthanum tellurides,
Laos,
lap joints,
Laplace equation,
Laplace transformation,
lapse rate,"The decrease of an atmospheric variable with height, the variable being temperature, unless otherwise specified. The term applies ambiguously to the environmental lapse rate and the process lapse rate, and the meaning must often be ascertained from the context."
large aperture seismic array,
Large Area Crop Inventory Experiment,
Large Deployable Reflector,
large eddy simulation,
large scale integration,
large-scale structure of the universe,Distribution of matter in the universe at the largest scale including the distribution of galactic clusters and superclusters.
large space structures,
LARGOS satellite,
Larissa,"A natural satellite of Neptune, orbiting at a mean distance of 73,600 kilometers."
Larmor precession,
Larmor radius,"For a charged particle moving transversely in a uniform magnetic field, the radius of curvature of the projection of its path on a plane perpendicular to the field. Named after the English mathematician Sir Joseph Larmor (1857-1942)."
larvae,
larynx,
laser ablation,
laser altimeters,
laser anemometers,Measuring instruments in which the wind being measured passes through two perpendicular light beams and the resulting change in velocity of one or both beams is measured.
laser annealing,Rapid heating of metals and/or alloys with the use of lasers.
laser applications,
laser arrays,A group of laser emitters arranged to give a desired combined output.
laser beams,
laser cavities,
laser cooling,
laser cutting,The cutting of material by means of lasers.
laser damage,
laser deposition,
laser doppler velocimeters,
laser drilling,
laser fusion,
laser guidance,"Guidance system for rockets or projectiles, utilizing a laser beam for a precise trajectory to a designated target."
laser guide stars,Use of a laser to excite either Rayleigh backscattering or the mesospheric sodium layer to create artificial references for adaptive optics.
laser gyroscopes,"Ring-laser angular rotation sensors for stabilizing and controlling large space structures, for space vehicle guidance, etc."
laser heating,
laser-induced breakdown spectroscopy,"A non-intrusive, spectroscopic technique wherein a laser pulse is focused on the target sample to form a laser spark or plasma. The emitted light from the spark is then used to identify elemental constituents and quantify abundances of measured species."
laser induced fluorescence,Emission of electromagnetic radiation that is caused by the flow of laser radiation into the emitting body and which ceases abruptly with the excitation. Used for LIF (fluorescence).
laser interferometry,"The design and use of interferometers in which a laser is the light source. The monochromaticity and brilliance of the laser light enables the differentiation between interfering beams of hundreds of meters, in contrast to a maximum of 20 centimeters for the classical interferometers."
laser machining,
laser materials,
laser microscopy,"The application of a laser microscope having a ceramic tube in which a metal vapor is formed at 1600 degrees C. Copper (or other metal atoms) are excited and amplify light so that, when used with a projection microscope, the object to be magnified is illuminated. The power of the emitted beam on the screen remains constant."
laser mode locking,
laser modes,
laser outputs,
laser plasma interactions,"The results of the actions of laser beams on electrically ducting fluids, such as plasmas or ionized gases."
laser plasmas,
laser power beaming,Space-to-Earth power transmission utilizing a laser.
laser propulsion,"The use of high power lasers for aircraft, rocket, or spacecraft propulsion by indirect conversion of laser heated propellants or working fluids to produce thrust; direct thrust generation with laser light pressure on the vehicle; direct conversion of laser energy into electricity for propulsion."
laser pumping,The application of a laser beam of appropriate frequency to a laser medium so that absorption of the radiation increases the population of atoms or molecules in higher energy states.
laser range finders,
laser ranger/tracker,
laser ranging,A technique for determining the distance to a target by measuring the absolute time-of-flight of a laser pulse traveling from a transmitter to a reflector on the target and back to a detector at the transmission site.
laser spectrometers,Spectrometers that use a laser.
laser spectroscopy,The use of lasers for spectroscopic analysis; particularly in Raman spectroscopy.
laser stability,Characteristic of a laser beam free from oscillations.
laser target designators,"Laser equipment aboard spacecraft for identifying satellites, missiles, and objects in space."
laser target interactions,"Interactions where lasers are used to produce heating, fusion, or damage in targets."
laser targets,"Objects subjected to laser radiation, especially for laser fusion applications."
laser weapons,Military applications of high power lasers (mainly gasdynamic and chemical mixing lasers).
laser welding,Microspot welding with a laser beam.
laser windows,
lasers,"Devices for producing light by emission of energy stored in a molecular or atomic system when stimulated by light or an electric discharge. (From Light Amplification by Stimulated Emission of Radiation.) Used for Fabry-Perot lasers, natural lasers, and optical masers."
lasing,Generation of visible or IR light waves having very nearly a single frequency by pumping or exciting electrons into high energy states in a stimulated emission device (laser).
latch-up,A p-n-p-n self-sustaining low impedence state which is a type of electronic malfunction.
latches,"Devices that fasten one thing to another, as a rocket to a launcher, but are subject to ready release so that things may be separated."
late stars,
lateness,
latent heat,"The unit quantity of heat required for isothermal change in a state of a unit mass of matter. Latent heat is termed heat of fusion, heat of sublimation, heat of vaporization, depending on the change of state involved."
lateral control,
lateral oscillation,
lateral stability,
laterites,
latex,
lathes,
Latin square method,"In mathematics, the use of an n x n square array of n different symbols, each symbol appearing once in each row and once in each column."
latitude,Angular distance from a primary great circle or plane.
latitude measurement,
lattice energy,"A measure of the stability of a crystal lattice, given by the energy that would be released in bringing constituent ions from an infinite distance apart to their locations in a stable lattice."
lattice parameters,
lattice vibrations,
~ lattices,
lattices (mathematics),
Latvia,
Laue method,
laughing,
launch costs,
launch dates,
launch escape systems,
launch vehicle configurations,
launch vehicles,"Rockets or other vehicles used to transport satellites, space probes, or other payloads from the Earth (or other terrestrial surfaces) to space."
launch windows,"The postulated openings in the continuum of time or of space, through which a spacecraft or missile must be launched in order to achieve a desired encounter, rendezvous, impact or the like. Used for launch time."
launchers,"Specifically, structures or devices, often incorporating tubes, a group of tubes, or a set of tracks, from which self-propelled missiles are sent forth and by means of which the missiles usually are aimed or imparted initial guidance -- distinguished in this specific sense the catapult. Broadly, structures, machines, or devices, including catapults, by means of which airplanes, rockets, or the like are directed, hurled, or sent forth. Used for launching devices."
launching,
launching bases,Areas such as Cape Kennedy or Vandenburg Air Force Base that have several launch sites. Used for launch complexes.
launching pads,The load-bearing base or platform from which a rocket vehicle is launched.
launching sites,"Defined areas from which a rocket vehicle is launched, either, operationally or for test purposes; specifically, at Cape Kennedy or Vandenberg, any of the several areas equipped to launch a rocket."
lava,"A general term for a molten extrusive; also, for the rock that is solidified from it."
Laval number,
Laves phases,
~ law,
law (jurisprudence),A written rule or collection of rules for action or conduct binding upon the population of a community.
lawrencium,
laws,
lay-up,Production of reinforced plastics by positioning the reinforced material (such as glass) in the mold prior to impregnation with resin.
~ layers,
layouts,
Lazarev meteorite,
LC circuits,
LCROSS (satellite),"Robotic spacecraft and associated mission designed to confirm the presence or absence of water ice in a permanently shadowed crater near a lunar polar region. Launched June 18, 2009."
leaching,
lead acetates,
lead acid batteries,The common automobile batteries in which the electrodes are grids of metallic lead containing lead oxides that change in composition during charging and discharging. The electrolyte generally is dilute sulfuric acid.
lead alloys,
lead chlorides,
lead compounds,
lead isotopes,
lead (metal),
lead molybdates,
lead organic compounds,
lead oxides,
lead poisoning,
lead selenides,
lead sulfides,
lead tellurides,
lead titanates,
lead tungstates,
lead zirconate titanates,Dense ceramics with high piezoelectric coefficients and a high relative permittivity.
leaders (meteorology),
leadership,
leading edge flaps,Control surfaces at the leading edges of airfoils. Hinged panels deflected downward to induce and control separation of the air flow.
leading edge slats,
leading edge sweep,
leading edge thrust,"The increase in lift produced by highly swept, low-aspect ratio wings which develop a strong separation vortex; however, an even larger increase in drag is produced."
leading edges,
leaf area index,
leakage,
Lear jet aircraft,
learning,
learning curves,
learning theory,
leasing,"Contracting for the use and possession of land, buildings, etc., for a specified time and fixed payments."
least squares method,Any statistical procedure that involves minimizing the sum of squared differences.
leather,
leaves,
Lebanon,
Lebesgue theorem,
lectures,
Leda,"A natural satellite of Jupiter orbiting at a mean distance of 11,094,000 kilometers."
ledges,
lee waves,Internal waves occurring on the downstream sides of submarine ridges.
leg (anatomy),
legal liability,
Legendre functions,
legibility,
leguminous plants,
Leidenfrost phenomenon,
length,The larger of the two dimensions of the open face.
Lennard-Jones gas,
Lennard-Jones potential,
lens antennas,
lens design,
lenses,"Transparent optical elements, so constructed that they serve to change the degree of convergence of the transmitted rays."
lenticular bodies,
Leonid meteoroids,
leptons,"In the classification of subatomic particles according to mass, the lightest of all particles; examples of leptons are the electron and positron."
lesions,
Lesotho,
Lesser Antilles,
lessons learned,"Knowledge or understanding gained by experience. The lesson must be significant in that it has real or assumed impact on operations; valid in that it is factually and technically correct; and applicable in that it identifies a specific design, process, or decision that reduces or eliminates the potential for failures and mishaps, or reinforces a positive result."
lethality,
lethargy,
leucine,
leukemias,
leukocytes,
leukopenia,
~ level,
level (horizontal),
level (quantity),
leveling,
levers,
levitation,
levitation melting,"A metallurgical process in which a piece of metal placed above a coil carrying a high frequency current can be supported against gravity by the Lorentz force caused by the induced surface currents in the metal. At the same time, the heat produced by Joule dissipation melts the metal."
Lewis base,
Lewis numbers,
Lexan (trademark),
liabilities,
Liapunov functions,
Liberia,
libraries,
libration,"A real or apparent oscillatory motion, particularly the apparent oscillation of the moon. Because of libration more than half of the moon's surface is revealed to an observer on the Earth even though the same side of the moon is always toward the Earth, because the moon's periods of rotation and revolution are the same. Other motions regarded as librations are long period orbital motions and periodic perturbations in orbital elements."
librational motion,
Libya,
Libyan desert,
licensing,
lichens,
lie groups,
Liechtenstein,
Lienard potential,
lies,
life cycle costs,The sum of the acquisition costs and maintenance costs for the life of a system.
life detectors,
life (durability),
life rafts,
life sciences,"A collective discipline encompassing biology, physiology, psychology, medicine, and sometimes sociology and other related areas. Used for life (biology)."
life span,
life support systems,
lifeboats,
lift,"That component of the total aerodynamic force acting on a body perpendicular to the undisturbed airflow relative to the body. To lift off, to take off in vertical ascent. Said of rocket vehicles. Used for aerodynamic lift, lift coefficients, lift distribution, lift forces, and variable lift."
lift augmentation,
lift devices,
lift drag ratio,The ratio of lift to drag obtained by dividing the lift by the drag or the lift coefficient by the drag coefficient. Used for drag balance.
lift fans,
lifting bodies,
lifting reentry vehicles,
lifting rotors,
liftoff (launching),
~ lifts,
ligaments,
ligands,
light adaptation,
Light Airborne Multipurpose System,
light aircraft,
light alloys,
light amplifiers,
light beams,
light-cone expansion,
light curve,
light elements,
light emission,
light emitting diodes,Pn junction semiconductor devices that emit incoherent optical radiation when biased in the forward direction. Used for LED (diodes).
light gas guns,
light helicopters,
light intratheater transport,
light ions,"Ions of helium, boron, and other elements used in implantation experiments."
light modulation,
light modulators,
light scattering,
light scattering meters,
light sources,
light speed,
light transmission,
light transport aircraft,"A classification of multiengine airplanes having a maximum passenger capacity of 30 seats and a gross weight of about 35,000 pounds."
light valves,"Optical shutters which, when activated by light, become either transparent or opaque."
light (visible radiation),"Visible radiation (about 0.4 to 0.7 microns in wavelength) considered in terms of its luminous efficiency, i.e., evaluated in proportion to its ability to stimulate the sense of sight. Used for optical spectrum and visible radiation."
light water,Water in which both hydrogen atoms in each molecule are of the isotope protium. Used for protium.
light water breeder reactors,
light water reactors,Nuclear reactors using ordinary (rather than heavy) water as moderator.
Lighthill gas model,
Lighthill method,
lighting equipment,
lightning,A discharge of atmospheric electricity acommpanied by a vivid flash of light.
lightning suppression,
lignin,"That part of plant material which is not saccharified by the action of 72 percent sulfuric acid or 42 percent hydrochloric acid, after the resins, waxes, and tannins have been removed."
lignite,"Coal of relatively recent origin, an intermediate between peat and bituminous coal."
LIGO (observatory),
likelihood ratio,"The probability of a random drawing of a specified sample from a population, assuring a given hypothesis about the parameters of the population, divided by the probability of a random drawing of the same sample, assuring that the parameters of the population are such that this probability is maximized."
limb brightening,The increase in the intensity of radio or x ray brightness of the sun or other stars from its center to its limb.
limb darkening,"A condition, sometimes observed on celestial bodies, in which the brightness of the object decreases as the edges or limbs of the object are approached. The sun and Jupiter exhibit limb darkening."
~ limbs,
limbs (anatomy),
limen,Threshold; a psychophysical concept denoting the lowest detectable intensity of any sensory stimulus.
limestone,Sedimentary rock composed principally of calcium carbonate (the mineral calcite) or the double carbonate of calcium and magnesium (the mineral dolomite) or mixture of the two.
limiter amplifiers,
limiter circuits,
limiters (fusion reactors),Material aperture in fusion power reactors which collect particles from the outer surfaces of the plasmas to control their transport to regions of low density.
~ limits,
limits (mathematics),
limnology,"The physical, chemical, meteorological, and especially the biological and ecological conditions in inland waters."
limonite,
Lincoln Experimental Satellites,
line current,
line of sight,"An aim or observation taken with mechanical or optical aid to establish a direct path to an objective, target, etc."
line of sight communication,"Electromagnetic wave propagation, usually microwaves, in a straight line between the transmitter and receiver. The useful transmission distance is generally limited to the horizon as sighted from the elevation of the transmitter."
line shape,
line spectra,The spontaneous emission of electromagnetic radiation from the bound electrons as they jump from high to low energy levels in an atom. Used for spectral lines.
linear accelerators,"Devices for accelerating charged particles employing alternate electrodes and gaps arranged in a straight line, so proportioned that when their potentials are varied in the proper amplitudes and frequency, particles passing through them receive successive increments of energy."
linear alternators,An electromagnetic energy converter that converts reciprocating linear harmonic motion and driving force input to AC electrical power and energy output.
linear amplifiers,
linear arrays,Antenna arrays whose elements are equally spaced along a straight line.
linear circuits,
linear energy transfer (LET),
linear equations,
linear evolution equations,Denotes a large class of differential or integral differential equations which are used to describe the evolution in time of some physical systems from an initial state. The equation is said to be linear if the unknown functions and their derivatives appear linearly.
linear filters,
linear integrated circuits,
linear operators,
linear parameter-varying control,
linear polarization,Polarization of an electromagnetic wave in which the electric vector at a fixed point in space remains pointing in a fixed direction although varying in magnitude. Also known as plane polarization.
linear prediction,
linear programming,"An optimization problem characterization in which a set of parameter values are to be determimed, subject to given linear constraints."
linear quadratic Gaussian control,A type of optimal-state feedback control whose design considers noise. It is primarily used to control aircraft and spacecraft systems. Used for LQG control.
linear quadratic regulator,A type of optimal-state feedback controller that does not consider noise. It is primarily used to control aircraft and spacecraft. Used for linear regulator and LQR.
linear receivers,
linear systems,
linear transformations,
linear vibration,
linearity,The maximum deviation between an actual instrument reading and the reading predicted by a straight line drawn between upper and lower calibration points; usually expressed as a percentage of the full scale.
linearization,
linen,
~ lines,
lines (geometry),
lines of force,
Ling-Temco-Vought aircraft,
linguistics,
lining processes,
linings,
linkages,
~ links,
links (mathematics),
Liouville equations,
Liouville theorem,
lip reading,
lipid metabolism,
lipids,
lipoic acid,
lipoproteins,
lips (anatomy),
Lipschitz condition,
liquefaction,
liquefied gases,
liquefied natural gas,
liquid air,
liquid air cycle engines,
liquid alloys,
liquid ammonia,
liquid atomization,
liquid bearings,
liquid breathing,
liquid bridges,Axisymmetric liquid columns held by capillary forces and forming an interface between two solids or between two gaps in a solid. Useful in space processing.
liquid chromatography,
liquid cooled reactors,
liquid cooling,
liquid crystals,
liquid filled shells,
liquid flow,
liquid fluorine,
liquid fuels,
liquid-gas mixtures,
liquid helium,
liquid helium 2,
liquid hydrogen,
liquid injection,
liquid lasers,
liquid levels,
liquid-liquid interfaces,
liquid lithium,
liquid metal cooled reactors,
liquid metal fast breeder reactors,
liquid metals,
liquid neon,
liquid nitrogen,
liquid oxidizers,
liquid oxygen,
liquid phase epitaxy,A liquid phase transformation during crystal growth.
liquid phase sintering,"Sintering of a compact, or loose powder aggregate under conditions where a liquid phase is present during part of the sintering cycle."
liquid phases,
liquid potassium,
liquid propellant rocket engines,Rocket engines using a propellant or propellants in liquid form.
liquid rocket propellants,"Specifically, rocket propellants in liquid form. Examples of liquid propellants include fuels such as alcohol, gasoline, aniline, liquid ammonia, and liquid hydrogen; oxidants such as liquid oxygen, hydrogen peroxide (also applicable as a monopropellant), and nitric acid; additives such as water; and monopropellants such as nitromethane. Used for bipropellants and tripropellants."
liquid sloshing,"The back and forth movement of a liquid fuel in its tank, creating problems of stability and control in the vehicle. Used for sloshing."
liquid sodium,
liquid-solid interfaces,
liquid surfaces,
liquid-vapor equilibrium,
liquid-vapor interfaces,
liquid wastes,"The liquid counterpart of solid wastes from industrial, chemical, metabolic, and/or mineral sources."
liquids,"Substances in a state in which the individual particles move freely with relation to each other and take the shape of the container, but do not expand to fill the container."
liquidus,
LIRTS (telescope),A proposed large infrared telescope for Spacelab superseded by the German infrared laboratory. Used for Large Infrared Telescope on Spacelab.
LISA (observatory),
LISP (programming language),
Lissajous figures,Figures where the path of a particle moving in a plane when the components of its position along two perpendicular axes each undergo simple harmonic motions and the ratio of their frequencies is a rational number.
lists,
literature,
lithergol rocket engines,
lithiasis,
lithium,
lithium alloys,
lithium aluminum hydrides,
lithium batteries,
lithium borates,
lithium chlorides,
lithium compounds,
Lithium Cooled Reactor Experiment,
lithium fluorides,
lithium hydrides,
lithium hydroxides,
lithium iodates,Salts of iodic acid containing the 10 to the third power radical.
lithium isotopes,
lithium niobates,
lithium oxides,
lithium perchlorates,
lithium sulfates,
lithium sulfur batteries,Primary cells for producing electrical energy using lithium metal for one electrode and sulfur for the other.
lithography,The process of printing from a plane surface on which the image to be printed is ink receptive and water repellant and the non-image area is ink repellant and water receptive.
lithology,"Description of the physical character of rocks as determined by eye or with a low-power magnifier and based on color, structure, mineralogic components, and grain size."
lithosphere,"The solid portion of the Earth, as compared to atmosphere and hydrosphere."
Lithuania,
Little Joe 2 launch vehicle,
Little John rocket vehicle,
littoral drift,"Material (such as shingle, gravel, sand, and shell fragments) that is moved along the shore by coastal currents."
littoral transport,
liver,
Livermore Pool Type Reactor,
livestock,
lixiscopes,"Portable light weight battery operated low intensity x ray imaging systems with medical, industrial, and scientific applications. Used for Low Intensity X Ray Imaging Scopes."
lizards,
Llanos Orientales (Colombia),
load carrying capacity,The capacity of a structure to bear loads.
load distribution (forces),
load testing machines,
load tests,
~ loading,
loading moments,
loading operations,
loading rate,
loads (forces),
~ lobes,
local area networks,"Networks, generally microcomputer based, that enable users in the same location to use the same programs and equipment such as printers. Used for LAN (computer networks)."
local group (astronomy),"The cluster of galaxies to which our galaxy belongs. It is a poor, irregular cluster with some 20 certain members including the Milky Way Galaxy, the Andromeda Galaxy, the Triangulum, four irregular galaxies, and about 13 intermediate or dwarf ellipticals."
local scientific survey module,
local thermodynamic equilibrium,
LOCATES system,
loci,
Lockheed aircraft,
Lockheed model 18 aircraft,
locking,
~ locks,
locks (fasteners),
locomotion,
locomotives,
locusts,
LOFAR,
lofting,
log periodic antennas,
log spiral antennas,
logarithmic receivers,
logarithms,"The power to which a fixed number, called the base, usually 10 or e (2.7182818) must be raised to produce the value to which the logarithm corresponds."
logging (industry),"The business of felling trees, cutting them up into logs and transporting the logs to sawmills or to a place of sale."
~ logic,
logic circuits,
logic design,
logic programming,
logical elements,"In computers or data processing systems, the smallest building blocks which can be represented by operators in an appropriate system of symbolic logic. Typical logical elements are the AND gate and flip-flop, which can be represented as operators in a suitable symbolic logic. Used for decision elements."
logistics,
logistics management,
logistics over the shore (LOTS) carrier,
Loki rocket vehicle,
Lomonosov current,
Long Duration Exposure Facility,
long duration space flight,Space flight involving interplanetary and/or interstellar travel. Used for extended duration space flight.
Long Island (NY),
Long March launch vehicles,
long range weather forecasting,
long term effects,
long wave radiation,
longerons,
~ longevity,
longitude,"Angular distance, along a primary great circle, from the adopted reference point; the angle between a reference plane through the polar axis and a second plane through that axis."
longitude measurement,
longitudinal control,
longitudinal stability,
longitudinal waves,Waves in which the direction of displacement at each point of the medium is normal to the wave front.
look angles (electronics),"The solid angle in which an instrument operates effectively, generally used to describe radars, optical instruments, and space radiation detectors."
look angles (tracking),The elevation and azimuth at which a particular satellite is predicted to be found at a specified time.
loop antennas,"Antennas whose configuration is that of a loop. If the current in the loop, or in the parallel turns of the loop is essentially uniform and the loop circumference is small compared with the wavelength, the radiation pattern approximates that of a magnetic dipole."
loop transfer functions,
loop transfer recovery,The recovery of the transfer properties of the controller in a feedback control system compensator design.
loops,
LORAC navigation system,
loran,A two dimensional pulse synchronized radio navigation system to determine hyperbolic lines of position through pulse time differencing from a master compared to two slave stations. Used for long range navigation.
loran C,
loran D,
Lorentz contraction,
Lorentz force,The force affecting a charged particle due to the motion of the particle in a magnetic field.
Lorentz gas,
Lorentz transformations,
Los Alamos Molten Plutonium Reactor,
Los Alamos Water Boiler Reactor,
loss of coolant,
losses,
lossless equipment,
lossless materials,Dielectric materials that do not dissipate energy or that do not dampen oscillations.
lossy media,A material that dissipates electromagnetic or acoustic energy passing through it.
loudness,"The intensive attribute of an auditory sensation, in terms of which sounds may be ordered on a scale extending from soft to loud. Loudness is measured in sones. Loudness depends primarily upon the sound pressure of the stimulus, but it also depends upon the frequency and waveform of the stimulus."
loudspeakers,
Louisiana,
~ lounges,
louvers,
Love waves,"Surface waves having a horizontal motion that is shear or transverse to the direction of propagation. Their velocity depends only on density and rigidity and not on bulk modulus. They are named after A.E.H. Love, the English mathematician who discovered them."
low altitude,
low aspect ratio,
low aspect ratio wings,
low carbon steels,Iron alloys containing carbon in low percentages that display temper and malleability characteristics not found in ordinary carbon steels.
low concentrations,
low conductivity,
low cost,
low currents,
low density flow,
low density materials,
low density research,
low density wind tunnels,
low Earth orbits,"Nominally circular Earth orbits of low altitude (typically between 100 and 1,000 km.) and short periodicity."
low frequencies,
low frequency transionospheric satellites,
low gravity manufacturing,
low level turbulence,
low molecular weights,
low noise,
low observable reentry vehicles,
low pass filters,"Wave filters having a single transmission band extending from zero frequency up to some critical or bounding frequency, not infinite."
low pressure,
~ low resistance,
low Reynolds number,A Reynolds number below the critical Reynolds number of a sphere.
low speed,
low speed stability,
low speed wind tunnels,
low temperature,
low temperature brazing,
low temperature environments,
low temperature physics,
low temperature tests,
low thrust,
low thrust propulsion,
low turbulence,
low vacuum,The condition in a gas filled space at pressures less than 760 torr corresponding approximately to the vapor pressure of water at 25 deg. C and to 1 inch of mercury.
low visibility,
low voltage,
low volume ramjet engines,
low weight,
~ low wing aircraft,
