,TermUpper,Term,Definitions,Acronym,Source
0,SCANNING HIGH-RESOLUTION INTERFEROMETER SOUNDER,Scanning High-Resolution Interferometer Sounder,"The Scanning High-resolution Interferometer Sounder (S-HIS) is a cross-track scanning interferometer sounder which measures emitted thermal radiation at high spectral resolution between 3.3 and 18 microns. The measured spectrally resolved radiance is used for a variety of applications, including retrieval of temperature and water vapor profiles of the Earths atmosphere, determination of surface emissivity and temperature, and validation of radiative transfer models and satellite measurements. The S-HIS produces sounding data with 2 kilometer spatial resolution (at nadir) across a 40 kilometer ground swath from an altitude of 20 kilometers (0.100 mrad FOV). The S-HIS instrument flies on a number of airborne platforms including the NASA ER-2, DC-8, Proteus, WB-57, and Global Hawk. On the Proteus and WB-57 aircraft, a zenith view is available, providing a means for calibration verification and studies of upper level water vapor.

The S-HIS is an advanced version of the HIS NASA ER-2 instrument. The S-HIS was initially designed to fly on an unmanned aircraft vehicle (UAV) with limited payload capacity. This drove it to be small, lightweight, and modular, with low power consumption. It was developed between 1996 and 1998 at the University of Wisconsin (UW) Space Science and Engineering Center (SSEC) with the combined support of the US DOE, NASA, and the NPOESS Integrated Program Office. Its design and calibration techniques have matured from experience with the HIS and with the ground based Atmospheric Emitted Radiance Interferometer (AERI) instruments developed for the DOE Atmospheric Radiation Measurement (ARM) program. The nadir-only spatial sampling of the original HIS has been replaced by programmable cross-track coverage with similar sized footprints. The S-HIS is also smaller, more robust, and easier to operate. Since 1998, the S-HIS has flown in several field campaigns and has proven to be extremely dependable and effective.

The S-HIS instrument is maintained and operated by the Space Science and Engineering Center at the University of Wisconsin-Madison in Madison, WI. The principal scientific investigator for the S-HIS is Dr. Joe K Taylor",SHIS,GCMD instruments
0,WATER VAPOR SENSING SYSTEM,Water Vapor Sensing System,"The water vapor sensing systems (WVSS) are integrated into
external probes mounted on the nose of commercial Boeing and
Airbus aircraft. Data from the WVSS will be used for weather
forecasting models, helping aircraft avoid hazardous weather
conditions, and helping the National Weather Service better
predict dangerous weather conditions. Ultimately, the demand for
an improved method of sensing water vapor at various altitudes
is driven by the desire to improve the safety of air
travel. Collected water vapor data will be distributed via the
ACARS (Aircraft Communications Addressing and Reporting System)
system, a VHF air/ground data link, and sent remotely to weather
database and modeling computers operated by the National
Oceanographic and Atmospheric Administration (NOAA).

[Summary provided by NOAA]",WVSS,GCMD instruments
0,WATER VAPOR SENSING SYSTEM,Water Vapor Sensing System,"The Water Vapor Sensing System (WVSS) was used for obtaining
weather observations which was a revolution in that it used a
convenient platform for a variety of environmental parameters.

History:

The FAA interest in the WVSS program is to support the Aviation
Weather Research Program. Researchers will use the data to
improve algorithms for the detection, analysis and prediction of
mesoscale weather phenomena and activity which affects the
aviation industry: ceiling and visibility, precipitation type
and amount, thunderstorms, microbursts, and icing. Two other
areas where water vapor has a secondary role are in convective
turbulence (where water vapor gradients affect atmospheric
stability) and in flight-level winds where the synoptic scale
wind patterns are often significantly disrupted by mesoscale
outflow (where water vapor plays a role in mesoscale development
and decay).

Program:

Results of the first phase of evaluation of the WVSS-I, which
uses a thin-film capacitor to measure relative humidity, are
available from this web site under the document entitled Water
Vapor Profiles from Commercial Aircraft.  THese results include
evaluation of measurements from the six UPS B-757 aircraft that
had the Allied Signal avionics and the WVSS-I software.  Results
from six months of data (July 1, 1999 to December 31, 1999) from
these WVSS-I equipped aircraft reveal that the commercial
aircraft profiles are competitive with radiosondes on
ascent/descent and superior to radiosondes in the upper
troposphere.

Comparisons of opportunity with radiosondes (when equipped
aircraft made ascent/descents near a radiosonde site) also
revealed the capability of depicting the moist absolutely
unstable layers (MAULs) describe by Bryan and Fritsch (2000).
See the document above for the detailed reference.  A number of
examples of MAULs including those seen in radiosondes are shown
in this document.  Statistics on the occurrence of MAULs (in the
commercial aircraft data and in radiosondes) are also provided.

Data from the second phase of the WVSS-I evaluation (after the
new Teledyne avionics equipment had replaced the Allied Signal
avionics is available to users as describe below.  One of the
limitations of the WVSS-I technology ( the Vaisala thin-film
capacitor technology which was an improved version over that
same sensor used in Vaisala radiosondes) is the aging of the
sensor over time.  This aging eventually results in a dry-bias
over time -- requiring that the sensor be replaced and then
recalibrated.

Note that such aging takes place while the unit sits on a shelf
(although presumably at a slower pace than when it is in
operation on the aircraft). THere is considerable variability in
this aging process -- this being one of the major reasons for
abandoning this sensor for the WVSS-II sensor described below.

As the WVSS-I Program is experimental (not operational) with a
limited budget, these sensors were not immediately replaced when
they should have been -- instead, part of the evaluation process
was to see how long the sensors would last.  Thus, Table 1 below
shows those time periods when the 30 UPS aircraft were
installed, working, and did not exhibit the obvious dry-bias.
This table will be maintained on a monthly basis through
calendar year 2002.  The green-filled boxes are the months with
good data.

For more information, visit the homepage of the Water Vapor
Sensing System Program at http://www.ofps.ucar.edu/wvss/

[Summary provided by JOSS]",WVSS-I,GCMD projects
0,MULTI-ANGLE IMAGER FOR AEROSOLS,Multi-Angle Imager for Aerosols,"Currently in development, MAIA will make radiometric and polarimetric measurements needed to characterize the sizes, compositions and quantities of particulate matter in air pollution. As part of the MAIA investigation, researchers will combine MAIA measurements with population health records to better understand the connections between aerosol pollutants and health problems such as adverse birth outcomes, cardiovascular and respiratory diseases, and premature deaths.

The MAIA instrument measures the radiance and polarization of sunlight scattered by atmospheric aerosols, from which the abundance and characteristics of ground-level particulate matter (PM) are derived. The instrument contains a pushbroom spectropolarimetric camera on a two-axis gimbal for multiangle viewing, frequent target revisits, and inflight calibration.

The MAIA instrument is being developed by the Jet Propulsion Laboratory, California Institute of Technology under a contract with the National Aeronautics and Space Administration (NASA). MAIA is a Venture-class investigation within NASAs Earth System Science Pathfinder Program.",MAIA,GCMD instruments
0,MULTI-ANGLE IMAGER FOR AEROSOLS,Multi-Angle Imager for Aerosols,The Multi-Angle Imager for Aerosols (MAIA) represents the first time NASA has partnered with epidemiologists and health organizations to use space-based data to study human health and improve lives.,MAIA,GCMD projects
0,AIRBORNE MULTI-ANGLE IMAGING SPECTRORADIOMETER,Airborne Multi-angle Imaging SpectroRadiometer,"The Airborne Multi-angle Imaging SpectroRadiometer (AirMISR) is an airborne instrument for obtaining multi-angle imagery similar to that of the satellite-borne MISR instrument, which is designed to provide new types of information for scientists studying Earths climate. AirMISR flies on the NASA-owned ER-2 aircraft. It was built for NASA by the Jet Propulsion Laboratory in Pasadena, California.

Additional information available at
https://www-misr.jpl.nasa.gov/Mission/airMISR/

[Summary provided by NASA]",AIRMISR,GCMD instruments
0,AIRBORNE MULTI-ANGLE IMAGING SPECTRORADIOMETER,Airborne Multi-angle Imaging SpectroRadiometer,"AirMISR -- the Airborne Multi-angle Imaging SpectroRadiometer --
      is a an airborne instrument for obtaining multi-angle imagery
      similar to that of the satellite-borne MISR instrument, which is
      designed to contribute to studies of Earths ecology and
      climate. AirMISR flies on the NASA-owned ER-2 aircraft. It was
      built for NASA by the Jet Propulsion Laboratory in Pasadena,
      California.

      For more information, link to
http://www-misr.jpl.nasa.gov/mission/air.html",AIRMISR,GCMD projects
0,AIRBORNE MULTIANGLE SPECTROPOLARIMETRIC IMAGER,Airborne Multiangle SpectroPolarimetric Imager,"Airborne Multi-angle Spectro Polarimetric Imager (AirMSPI) is an airborne prototype instrument similar to that of the future satellite-borne MSPI instrument for obtaining multi-angle polarization imagery. AirMSPI flies on the NASA-owned ER-2 aircraft. The instrument was built for NASA by the Jet Propulsion Laboratory in Pasadena, California.  

More information is available at:
http://airbornescience.jpl.nasa.gov/instruments/airmspi/


Group: Instrument_Details
   Entry_ID: AIRMSPI
   Group: Instrument_Identification
      Instrument_Category: Earth Remote Sensing Instruments
      Instrument_Class: Passive Remote Sensing
      Instrument_Type: Spectrometers/Radiometers
      Instrument_Subtype: Imaging Spectrometers/Radiometers
      Short_Name: AIRMSPI
      Long_Name: Airborne Multiangle SpectroPolarimetric Imager
   End_Group
   Group: Associated_Platforms
      Short_Name: NASA ER-2
   End_Group
   Online_Resource: http://airbornescience.jpl.nasa.gov/instruments/airmspi/
   Creation_Date: 2014-03-27
End_Group",AIRMSPI,GCMD instruments
0,AIRBORNE MULTIANGLE SPECTROPOLARIMETRIC IMAGER,Airborne Multiangle SpectroPolarimetric Imager,"Airborne Multi-angle Spectro Polarimetric Imager (AirMSPI) is an airborne prototype instrument similar to that of the future satellite-borne MSPI instrument for obtaining multi-angle polarization imagery. AirMSPI flies on the NASA-owned ER-2 aircraft. The instrument was built for NASA by the Jet Propulsion Laboratory in Pasadena, California.

More information is available at: 
http://airbornescience.jpl.nasa.gov/instruments/airmspi/",AIRMSPI,GCMD projects
0,ECOSYSTEM SPACEBORNE THERMAL RADIOMETER EXPERIMENT ON SPACE STATION,ECOsystem Spaceborne Thermal Radiometer Experiment on Space Station,"The ECOsystem Spaceborne Thermal Radiometer Experiment on Space Station (ECOSTRESS) will measure the temperature of plants and use that information to better understand how much water plants need and how they
respond to stress.",ECOSTRESS,GCMD instruments
0,ECOSYSTEM SPACEBORNE THERMAL RADIOMETER EXPERIMENT ON SPACE STATION,ECOsystem Spaceborne Thermal Radiometer Experiment on Space Station,"ECOSTRESS is addressing  three overarching science questions:

How is the terrestrial biosphere responding to changes in water availability?
How do changes in diurnal vegetation water stress impact the global carbon cycle?
Can agricultural vulnerability be reduced through advanced monitoring of agricultural water consumptive use and improved drought estimation?

Source: https://ecostress.jpl.nasa.gov/",ECOSTRESS,GCMD projects
0,GEOSTATIONARY EARTH RADIATION BUDGET,Geostationary Earth Radiation Budget,"The MSG system has been outlined to support additional or research missions. ESA selected the Geostationary Earth Radiation Budget (GERB) instrument for flight on the MSG-1 satellite. The GERB instrument is developed by a European consortium led by the Rutherford Appleton Laboratory (RAL), United Kingdom, under a cooperation between the UK, Italy and Belgium. The EUMETSAT Council decided in November 1998 to fund the flight of two additional GERB instruments on MSG-2 and MSG-3.
 The first images from the GERB instrument flying on Meteosat-8  (MSG-1) were taken on 12 December 2002. 

The principle objective of the GERB mission is to measure the Earth radiation budget, in support of climate research and monitoring. A GERB International Science Team (GIST) had been established and tasked inter alia to define the science requirements, products and processing algorithms, and to implement science and validation activities. The consortium that developed and is responsible for operating the GERB system includes the Rutherford Appleton Laboratory (RAL), UK; Imperial College of Science, Technology and Medicine (ICSTM), UK; Hadley Centre, UK; Leicester University, UK; RMI, Belgium; Advanced Mechanical and Optical Systems Ltd (AMOS Ltd), Belgium; and Officine Galileo, Italy. 

The Royal Meteorological Institute of Belgium (RMI) was a key player in the development of the GERB concept, and Belgium provides half of the GERB ground segment infrastructure and services.

The GERB instrument, as part of the satellite, is operated by EUMETSAT in coordination with the GERB Operations Team based at ICSTM.GERB data are received at the EUMETSAT ground segment and passed to the GERB ground segment for data processing. The data and products are then distributed by RAL to centres throughout Europe which use the information to evaluate and improve climate monitoring and Numerical Weather Prediction (NWP) models.

The GERB instrument is a scanning radiometer with two broadband channels, one covering the solar spectrum (0.32 to 4.0 µm), the other covering a wider portion of the electromagnetic spectrum (0.32 to 30 µm).  Together these channels are used to derive the thermal radiation emitted by the Earth in the spectral range 4.0 to 30 µm. Data are calibrated on board in order to support the retrieval of radiative fluxes of reflected solar radiation and emitted thermal radiation at the top of the atmosphere with an accuracy of 1%. The radiation budget represents the balance between incoming energy from the Sun and outgoing thermal (longwave) and reflected (shortwave) energy from the Earth.

The GERB broadband channels span the twelve much narrower channels measured by the MSGs other instrument  the Spinning Enhanced Visible and Infrared Imager (SEVIRI). Thus GERB fills in the gaps in the thermal radiation spectrum missed by the SEVIRI channels. However, the GERB measures the thermal radiation at a coarser spatial resolution. Back on the ground, RMI scientists use the finer spatial resolution of the SEVIRI data to improve the spatial resolution of the GERB images. 

Source: EUMETSAT


Group: Instrument_Details
   Entry_ID: GERB
   Group: Instrument_Identification
      Instrument_Category: Earth Remote Sensing Instruments
      Instrument_Class: Passive Remote Sensing
      Instrument_Type: Spectrometers/Radiometers
      Instrument_Subtype: Imaging Spectrometers/Radiometers
      Short_Name: GERB
      Long_Name: Geostationary Earth Radiation Budget
   End_Group
   Group: Instrument_Associated_Sensors
      Short_Name: GERB
   End_Group
   Group: Associated_Platforms
      Short_Name: METEOSAT
   End_Group
   Group: Spectral_Frequency_Information
      Wavelength_Keyword: Ultraviolet
      Number_Channels: 2 broadband channels, one covering the solar spectrum (0.32 to 4.0 µm), the other covering a wider portion of the electromagnetic spectrum (0.32 to 30 µm).
      Spectral_Frequency_Coverage_Range: 4.0 - 30 µm
      Spectral_Frequency_Resolution: With and without quartz filter: 0.32  - 4.0 µm, 0.32 - 30 µm
   End_Group
   Online_Resource: http://www.esa.int/esapub/bulletin/bullet111/chapter5_bul111.pdf
   Online_Resource: http://www3.imperial.ac.uk/spat/research/missions/atmos_missions/gerb/instrument
   Online_Resource: http://badc.nerc.ac.uk/view/badc.nerc.ac.uk__ATOM__dataent_gerb
   Sample_Image: http://radagast.nerc-essc.ac.uk/Assets/GERB_schematic.gif
   Creation_Date: 2007-09-14
   Group: Instrument_Logistics
      Data_Rate: 50.6 Kbits/sec (L Band)
      Instrument_Start_Date: 2002-12-12
      Instrument_Owner: European consortium led by the Rutherford Appleton Laboratory (RAL), United Kingdom, under a cooperation between the UK, Italy and Belgium.
   End_Group
End_Group",GERB,GCMD instruments
0,GEOSTATIONARY EARTH RADIATION BUDGET,GEOSTATIONARY EARTH RADIATION BUDGET,"GERB is an Announcement of Opportunity Instrument for EUMETSATs MSG-1 (Meteosat Second Generation) satellite, intended to make accurate measurements of the Earth Radiation Budget from geostationary orbit. It has been produced by a European consortium led by the UK together with Belgium and Italy, with funding from national agencies. Additional GERB instruments are being provided for MSG-2 and MSG-3, with funding by EUMETSAT. 

Summary Provided By:

http://www.sstd.rl.ac.uk/gerb/",GERB,GCMD projects
0,MODIS/ASTER AIRBORNE SIMULATOR,MODIS/ASTER Airborne Simulator,"The MASTER is similar to the MAS, with the thermal bands modified to more closely match the NASA EOS ASTER (Advanced Spaceborne Thermal Emission and Reflection Radiometer) satellite instrument, which was launched in 1998. It is intended primarily to study geologic and other Earth surface properties. Flying on both high and low altitude aircraft, the MASTER has been operational since early 1998.",MASTER,GCMD instruments
0,MODIS/ASTER AIRBORNE SIMULATOR,MODIS/ASTER Airborne Simulator,"The MASTER is similar to the MAS, with the thermal bands modified to more closely match the NASA EOS ASTER (Advanced Spaceborne Thermal Emission and Reflection Radiometer) satellite instrument, which was launched in 1998. It is intended primarily to study geologic and other Earth surface properties. Flying on both high and low altitude aircraft, the MASTER has been operational since early 1998.

Instrument Type: Multispectral Imager
Measurements: VNIR/SWIR/MWIR/LWIR Imagery",MASTER,GCMD projects
0,MULTI-ANGLE IMAGING SPECTRORADIOMETER,Multi-Angle Imaging SpectroRadiometer,"To accomplish its scientific objectives, the MISR instrument measures Earth&#039;s brightness in 4 spectral bands, at each of 9 look angles spread out in the forward and aft directions along the flight path. Spatial samples are acquired every 275 meters. Over a period of 7 minutes, a 360 km wide swath of Earth comes into view at all 9 angles. Special attention has been paid to providing highly accurate absolute and relative calibration, using on-board hardware consisting of deployable solar diffuser plates and several types of photodiodes. To complement the on-board calibration effort, a validation program of in situ measurements are being conducted, involving field instruments, one of which is the &PARABOLA III&, which automatically scans the sky and ground at many angles, and a multi-angle aircraft camera (AirMISR). Global coverage with MISR is acquired about once every 9 days at the equator; the nominal lifetime of the mission is 6 years.

MISR was built for NASA by the Jet Propulsion Laboratory in Pasadena, California, and is one of five instruments launched into polar orbit aboard NASAs Terra spacecraft in August 1999. The spacecraft flys in a sun-synchronous orbit, designed so that it crosses the equator every 98 minutes, always at 10:30 a.m. local time, as Earth rotates below. 

[Source: MISR Project Home Page https://www-misr.jpl.nasa.gov/]


Group: Instrument_Details
   Entry_ID: MISR
   Group: Instrument_Identification
      Instrument_Category: Earth Remote Sensing Instruments
      Instrument_Class: Passive Remote Sensing
      Instrument_Type: Spectrometers/Radiometers
      Instrument_Subtype: Imaging Spectrometers/Radiometers
      Short_Name: MISR
      Long_Name: Multi-Angle Imaging SpectroRadiometer
   End_Group
   Group: Associated_Platforms
      Short_Name: TERRA
   End_Group
   Group: Spectral_Frequency_Information
      Wavelength_Keyword: Near Infrared
      Spectral_Frequency_Coverage_Range: Near Infrared
   End_Group
   Group: Spectral_Frequency_Information
      Wavelength_Keyword: Visible
      Spectral_Frequency_Coverage_Range: Blue, Green, Red
   End_Group
   Online_Resource: https://www-misr.jpl.nasa.gov/
   Online_Resource: https://asdc.larc.nasa.gov/project/MISR
   Online_Resource: https://terra.nasa.gov/about/terra-instruments/misr
   Online_Resource: https://www-misr.jpl.nasa.gov/Mission/misrInstrument/
   Sample_Image: https://www-misr.jpl.nasa.gov/images/mws/misrpic.jpg
   Creation_Date: 2007-07-19
   Group: Instrument_Logistics
      Data_Rate: 3.3 Megabits/second average, 9.0 Megabits/second peak
      Instrument_Start_Date: 2000-02-01
      Instrument_Owner: USA/NASA
   End_Group
End_Group",MISR,GCMD instruments
0,MULTI-ANGLE IMAGING SPECTRORADIOMETER,Multi-angle Imaging SpectroRadiometer,"No instrument like MISR has flown in space before. Viewing the sunlit
Earth simultaneously at nine widely spaced angles, MISR provides
ongoing global coverage with high spatial detail. Its imagery is
carefully calibrated to provide accurate measures of the brightness,
contrast, and color of reflected sunlight.

MISR provides new types of information for scientists studying Earths
climate, such as the partitioning of energy and carbon between the
land surface and the atmosphere, and the regional and global impacts
of different types of atmospheric particles and clouds on climate. The
change in reflection at different view angles affords the means to
distinguish different types of atmospheric particles (aerosols), cloud
forms, and land surface covers. Combined with stereoscopic techniques,
this enables construction of 3-D models and estimation of the total
amount of sunlight reflected by Earths diverse environments.

      For more information, link to http://www-misr.jpl.nasa.gov/

      [Summary provided by NASA]",MISR,GCMD projects
0,MULTISPECTRAL IMAGING SYSTEM,Multispectral Imaging System,"MSIS (Multispectral Imaging System): 4-band visible (red, green, blue) and near-infrared sensor with 26m resolution (swath 55km, Field of Regard 300km).",MSIS,GCMD instruments
0,MULTISPECTRAL IMAGING SYSTEM,Multispectral imaging system,"Multispectral imaging system (MSS)


Group: Instrument_Details
   Entry_ID: MSS_RS
   Group: Instrument_Identification
      Instrument_Category: Earth Remote Sensing Instruments
      Instrument_Class: Passive Remote Sensing
      Instrument_Type: Spectrometers/Radiometers
      Instrument_Subtype: Imaging Spectrometers/Radiometers
      Short_Name: MSS_RS
      Long_Name: Multispectral imaging system
   End_Group
   Group: Associated_Platforms
      Short_Name: BelKA
      Short_Name: Kanopus-V
   End_Group
   Group: Spectral_Frequency_Information
      Wavelength_Keyword: Visible
      Spectral_Frequency_Coverage_Range: 0.5 µm - 0.6 µm
   End_Group
   Group: Spectral_Frequency_Information
      Wavelength_Keyword: Visible
      Spectral_Frequency_Coverage_Range: 0.6 µm - 0.7 µm
   End_Group
   Group: Spectral_Frequency_Information
      Wavelength_Keyword: Visible
      Spectral_Frequency_Coverage_Range: 0.7 µm - 0.8 µm
   End_Group
   Group: Spectral_Frequency_Information
      Wavelength_Keyword: Near Infrared
      Spectral_Frequency_Coverage_Range: 0.7 µm - 0.8 µm
   End_Group
   Group: Spectral_Frequency_Information
      Wavelength_Keyword: Near Infrared
      Spectral_Frequency_Coverage_Range: 0.8 µm - 0.9 µm
   End_Group
   Sample_Image: https://innoter.com/sites/default/files/uploads/articles/Kanopus/5.jpg
   Creation_Date: 2015-01-26
   Group: Instrument_Logistics
      Instrument_Owner: Russia/ROSCOSMOS
   End_Group
End_Group",MSS_RS,GCMD instruments
0,SEA-VIEWING WIDE FIELD-OF-VIEW SENSOR,Sea-Viewing Wide Field-of-View Sensor,"[SeaWiFS collected data from September 1997 until the end of its mission in December 2010]

The SeaWiFS instrument was launched by Orbital Sciences Corporation on the OrbView-2 (a.k.a. SeaStar) satellite in August 
1997, and collected data from September 1997 until the end of mission in December 2010. SeaWiFS had 8 spectral bands from 
412 to 865 nm. It collected global data at 4 km resolution, and local data (limited onboard storage and direct broadcast) 
at 1 km. The mission and sensor were optimized for ocean color measurements, with a local noon (descending) equator crossing 
time orbit, fore-and-aft tilt capability, full dynamic range, and low polarization sensitivity.

The SeaWiFS instrument has scanning mechanisms to
drive an off-axis folded telescope and a rotating halfangle
mirror. Incoming scene radiation is collected
by the folded telescope and reflected onto the rotating
half-angle mirror. The collected radiation is then relayed
through dichroic beam splitters to separate the radiation
into four wavelength intervals each wavelength interval
encompassing two of the eight SeaWiFS spectral bands.
Four corresponding aft-optics direct the radiation in the
four separate wavelength intervals through two separate
spectral band-pass filters that further separate the radiation
into eight SeaWiFS spectral bands. The aft-optics
assemblies also image each of the resultant defined bands
of radiation onto four detectors that are aligned in the scan
direction. Monitoring of sensor calibration over periods of
a few orbits, to several months or years, is accomplished
using solar calibration for the former and lunar calibration
for the latter. Solar calibration uses a solar-radiation
diffuser and an input port located in a fixed position
outside of the 58.3 degree SeaWiFS scene-scan interval. Lunar
calibration is accomplished by a spacecraft maneuver to
view the moon when the spacecraft is in the nighttime
portion of its orbit.

Key SeaWiFS Facts
Scan Width: 58.3 deg (LAC); 45.0 deg (GAC)
Scan Coverage: 2,800 km (LAC); 1,500 km (GAC)
Pixels along Scan: 1,285 (LAC); 248 (GAC)
Nadir Resolution: 1.13 km (LAC); 4.5 km (GAC)
Scan Period: 0.124 seconds
Tilt: -20, 0, +20 deg
Digitization: 10 bits
(LAC stands for Local Area Coverage; GAC stands for Global Area
Coverage)

Additional Information: 
https://oceancolor.gsfc.nasa.gov/SeaWiFS/

Group: Instrument_Details
   Entry_ID: SEAWIFS
   Group: Instrument_Identification
      Instrument_Category: Earth Remote Sensing Instruments
      Instrument_Class: Passive Remote Sensing
      Instrument_Type: Spectrometers/Radiometers
      Instrument_Subtype: Imaging Spectrometers/Radiometers
      Short_Name: SEAWIFS
      Long_Name: Sea-Viewing Wide Field-of-View Sensor
   End_Group
   Group: Associated_Platforms
      Short_Name: SEASTAR
   End_Group
   Group: Spectral_Frequency_Information
      Wavelength_Keyword: Visible
      Number_Channels: 6 channels
      Spectral_Frequency_Coverage_Range: 0.4 - 0.7 micrometers
   End_Group
   Group: Spectral_Frequency_Information
      Wavelength_Keyword: Near Infrared
      Number_Channels: 2 channels
      Spectral_Frequency_Coverage_Range: 0.765 - 0.865 micrometers
   End_Group
   Online_Resource: https://oceancolor.gsfc.nasa.gov/SeaWiFS/
   Online_Resource: https://oceancolor.gsfc.nasa.gov/data/seawifs/
   Sample_Image: https://oceancolor.gsfc.nasa.gov/SeaWiFS/SEASTAR/seawifs_bench.gif
   Creation_Date: 2007-04-16
   Group: Instrument_Logistics
      Instrument_Start_Date: 1997-09-01
      Instrument_Stop_Date: 2010-12-11
      Instrument_Owner: USA/NASA
   End_Group
End_Group",SeaWiFS,GCMD instruments
0,SEA-VIEWING WIDE FIELD-OF-VIEW SENSOR,Sea-viewing Wide Field-of-view Sensor,"purpose of the Sea-viewing Wide Field-of-view Sensor (SeaWiFS)
Project is to provide quantitative data on global ocean bio-optical
properties to the Earth science community. Subtle changes in ocean
color signify various types and quantities of marine phytoplankton
(microscopic marine plants), the knowledge of which has both
scientific and practical applications. The SeaWiFS Project operates a
research data system that processes, calibrates, validates, archives
and distributes data received from SeaWiFS. The SeaWiFS Mission is a
part of NASAs Earth Science Enterprise.

The SeaStar spacecraft, developed by OSC, carries the SeaWiFS
instrument and was launched to low Earth orbit on board an extended
Pegasus launch vehicle on August 1, 1997.

The SeaWiFS data is procured as a data buy from a private
contractor, Orbital Sciences Corporation (OSC), which subcontracted
with the Hughes Santa Barbara Research Center (SBRC) as the builder of
the SeaWiFS ocean color sensor. OSC built, launched, and operates the
SeaStar satellite carrying the sensor.

The GSFC EOS DAAC has the responsibility for the permanent archiving
and distribution of SeaWiFS data to all approved SeaWiFS data
users. The SDPS provides processed data to the GSFC DAAC. Authorized
users may also request LAC data archived at NASA-licensed HRPT
stations. A consolidated, on-line, electronic catalog of all holdings
of SeaWiFS data at Goddard or NASA-licensed HRPT stations is available
to all authorized SeaWiFS research users. Requests for data not held
by the GSFC DAAC will be directed to the LAC station that holds the
data. Fees, if any, for copies of SeaWiFS data can be no higher than
the nominal cost of reproduction of the requested data. The EOS DAAC
will support the distribution of data in its holdings through
electronic means and on selected magnetic or optical media. Standing
orders for routine distribution of all or selected products, as they
become available, are subject to approval by NASA.

For further information on the SeaWiFS Project, contact:

SeaWiFS Project, Code 970.2
NASA Goddard Space Flight Center
Greenbelt, Maryland 20771
Telephone: (301) 286-9676

For more information on SeaWiFS, see:
https://oceancolor.gsfc.nasa.gov/SeaWiFS/",SeaWiFS,GCMD projects
0,CLOUD ABSORPTION RADIOMETER,Cloud Absorption Radiometer,The Cloud Absorption Radiometer (CAR) is an airborne multi-wavelength scanning radiometer that can perform several functions including determining the single scattering albedo of clouds at selected wavelengths in the visible and near-infrared; measuring the angular distribution of scattered radiation; measuring bidirectional reflectance of various surface types; and acquiring imagery of cloud and Earth surface features.,CAR,GCMD instruments
0,CLOUD ABSORPTION RADIOMETER,Cloud Absorption Radiometer,"The  CAR  project  consists  of  many  missions  spanning  the  globe.  The  versatility  of  the CAR  measurements  has  allowed  for  multiple  missions  investigating  snow  melt  and  albedo,  air  quality, ocean reflectance anisotropy and implications in ocean color remote sensing problems, radiative characteristics of clouds embedded in smoke, and changes in vegetation. Although the  applications  of  the  instrument  and  data  have  expanded  over  time,  primary  applications  were  for cloud diffusion domain studies and measurements of bidirectional reflectance.",CAR,GCMD projects
0,EARTH RADIATION BUDGET EXPERIMENT,Earth Radiation Budget Experiment,"The Earth Radiation Budget Experiment (ERBE), flown on the Earth
Radiation Budget Satellite (ERBS) and the NOAA Polar Orbiting
Environmental Satellites (NOAA-9, NOAA-10), was designed to measure the
energy exchange between the earth-atmosphere system and space.  The
measurements of global, zonal, and regional radiation budgets on
monthly time scales helped in climate prediction and in the
development of statistical relationships between regional weather and
radiation budget anomalies. The ERBE consisted of two seperate
instrument packages: the nonscanner (ERBE-NS) instrument and the
scanner (ERBS-S) instrument. The ERBE-NS instrument had five sensors,
each using cavity radiometer detectors. Four of them were primarily
earth-viewing. Two wide-field-of-view (WFOV) sensors viewed the entire
disk of the earth from limb to limb, approximately 135 deg. Two medium
FOV (MFOV) sensors viewed a 10-deg region. The fifth sensor was a
solar monitor that measured the total radiation from the sun. Of the
four earth-viewing sensors, one WFOV and one MFOV sensor made total
radiation measurements; the other two measured reflected solar
radiation in the shortwave spectral band between 0.2 and 5 micrometers
by using Suprasil-W filters. The earth-emitted longwave radiation
component was determined by subtracting the shortwave measurement from
the total measurement. The ERBE-S instrument was a scanning radiometer
that contained three narrow FOV channels. One channel measured
reflected solar radiation in the shortwave spectral interval between
0.2 and 5 micrometers. Another channel measured earth-emitted
radiation in the longwave spectral region from 5 to 50 micrometers.
The third channel measured total radiation with a wavelength between
0.2 and 50 micrometers. All three channels were located within a
continuously rotating scan drum, which scanned the FOV across track
sequentially from horizon to horizon. Each channel made 74 radiometric
measurements during each scan, and the FOV of each channel was 3 by
4.5 deg, which covered about 40 km at the earths surface.  The ERBE-S
also viewed the sun for calibration.
Additional information can be obtained from the Earth Radiation
Budget Experiment (ERBE): An Overview, J. Energy, vol 6, pp. 141-146
(1982), by B.R. Barkstrom and J.B. Hall, Jr.
More information can also be found at:
http://asd-www.larc.nasa.gov/erbe/ASDerbe.html
Data availability contact:
Langley Distributed Active Archive Center
Mail Stop 157B
NASA Langley Research Center
Hampton, Virginia 23681-0001
(804)864-8656
FAX (804)864-8807
userserv@eosdis.larc.nasa.gov
IDN_Node: USA/NASA",ERBE,GCMD instruments
